Name,Class,Role,Tier,Score,Trend,Win %,Role %,Pick %,Ban %,KDA,Patch
Aatrox,Fighter,TOP,A,49.44,-3.98,0.4749,0.9183,0.0455,0.0457,1.76,13_7
Ahri,Mage,MID,God,78.73,7.26,0.5124,0.9565,0.1028,0.0364,2.72,13_7
Akali,Assassin,MID,A,54.33,-0.47,0.4781,0.7417,0.0558,0.0920,2.29,13_7
Akali,Assassin,TOP,C,38.97,2.21,0.4641,0.2478,0.0183,0.0920,1.97,13_7
Akshan,Marksman,MID,B,46.12,-2.45,0.5057,0.6298,0.0247,0.0389,2.21,13_7
Akshan,Marksman,TOP,B,42.84,0.24,0.5051,0.2753,0.0098,0.0389,1.95,13_7
Alistar,Tank,SUPPORT,A,47.87,0.98,0.5025,0.8982,0.0358,0.0100,2.48,13_7
Amumu,Tank,JUNGLE,B,45.22,-2.76,0.5077,0.5595,0.0265,0.0251,2.7,13_7
Amumu,Tank,SUPPORT,B,42.89,-2.02,0.5119,0.4249,0.0171,0.0251,2.1,13_7
Anivia,Mage,MID,A,47.59,-5.46,0.5001,0.8163,0.0229,0.0370,2.83,13_7
Anivia,Mage,SUPPORT,D,28.52,-8.49,0.4569,0.1210,0.0030,0.0365,2.21,13_7
Annie,Mage,MID,S,55.63,-1.55,0.5265,0.6338,0.0358,0.0620,2.46,13_7
Annie,Mage,SUPPORT,B,45.3,-8.91,0.5131,0.3275,0.0189,0.0620,2.46,13_7
Aphelios,Marksman,ADC,B,43.51,6.73,0.4813,0.9788,0.0888,0.0122,2.02,13_7
Ashe,Marksman,ADC,A,49.39,-2.83,0.5156,0.7112,0.0721,0.0235,2.41,13_7
Ashe,Marksman,SUPPORT,D,37.1,-4.3,0.4699,0.2615,0.0251,0.0235,2.11,13_7
Aurelion Sol,Mage,MID,God,72.23,-9.82,0.5130,0.8880,0.0663,0.2430,2.68,13_7
Azir,Mage,MID,D,35.61,8.06,0.4607,0.8798,0.0216,0.0043,2.04,13_7
Bard,Support,SUPPORT,B,43.72,-4.1,0.4945,0.9608,0.0205,0.0034,2.94,13_7
Bel'Veth,Fighter,JUNGLE,A,49.01,0.1,0.5176,0.9148,0.0343,0.0565,2.4,13_7
Blitzcrank,Tank,SUPPORT,God,70.38,10.9,0.5124,0.9719,0.0839,0.2339,2.42,13_7
Brand,Mage,SUPPORT,B,43.98,-2.46,0.5011,0.7457,0.0312,0.0386,1.8,13_7
Brand,Mage,MID,D,36.81,-3.28,0.4965,0.1636,0.0074,0.0424,1.96,13_7
Braum,Support,SUPPORT,B,43.97,-2.66,0.4968,0.9850,0.0222,0.0032,2.77,13_7
Caitlyn,Marksman,ADC,S,57.82,-10.6,0.4792,0.9553,0.1287,0.1181,2.13,13_7
Camille,Fighter,TOP,A,52.23,-1.77,0.4969,0.9399,0.0402,0.0208,1.96,13_7
Cassiopeia,Mage,MID,A,50.29,-0.24,0.5259,0.7823,0.0256,0.0280,2.25,13_7
Cassiopeia,Mage,TOP,B,43.27,0.99,0.5182,0.1384,0.0049,0.0280,1.93,13_7
Cho'Gath,Tank,TOP,S,56.6,-2.28,0.5153,0.6581,0.0412,0.0189,2.09,13_7
Cho'Gath,Tank,MID,B,45.06,-1.45,0.5253,0.1650,0.0094,0.0189,2.43,13_7
Corki,Marksman,MID,D,31.11,-4.6,0.4591,0.8843,0.0085,0.0017,2.13,13_7
Darius,Fighter,TOP,God,69.21,-6.95,0.4816,0.9300,0.0791,0.2010,1.83,13_7
