"","Name","Class","Role","Tier","Score","Trend","Win %","Role %","Pick %","Ban %","KDA","Patch"
"1","Aatrox","Fighter","TOP","God",89.27,"+5.88","49.82%","94.60%","16.93%","12.08%",1.86,"13_24"
"2","Ahri","Mage","MID","S",57.43,"+2.47","49.71%","95.09%","6.74%","0.90%",2.7,"13_24"
"3","Akali","Assassin","MID","God",77.47,"+12.80","49.83%","76.26%","11.91%","15.87%",2.46,"13_24"
"4","Akali","Assassin","TOP","B",47.19,"-2.98","47.05%","23.90%","3.66%","15.91%",2.1,"13_24"
"5","Akshan","Marksman","MID","S",53.76,"+2.06","52.82%","88.12%","3.57%","7.79%",2.47,"13_24"
"6","Akshan","Marksman","TOP","C",43.16,"-7.62","50.96%","10.27%","0.39%","7.80%",1.97,"13_24"
"7","Alistar","Tank","SUPPORT","S",53.87,"-2.02","49.60%","97.89%","6.43%","3.94%",2.44,"13_24"
"8","Amumu","Tank","SUPPORT","B",47.11,"+3.02","51.79%","44.25%","0.86%","0.14%",2.05,"13_24"
"9","Amumu","Tank","JUNGLE","C",41.26,"+1.65","47.60%","56.35%","1.24%","0.14%",2.49,"13_24"
"10","Anivia","Mage","MID","A",52.13,"-1.88","53.44%","81.98%","2.07%","1.10%",2.94,"13_24"
"11","Anivia","Mage","SUPPORT","D",39.67,"-2.11","47.36%","16.14%","0.37%","1.10%",2.12,"13_24"
"12","Annie","Mage","MID","B",46.78,"-3.10","53.12%","78.15%","1.03%","0.12%",2.6,"13_24"
"13","Annie","Mage","SUPPORT","B",45.25,"-2.60","50.78%","20.07%","0.29%","0.13%",2.22,"13_24"
"14","Aphelios","Marksman","ADC","B",43.98,"-3.09","49.71%","99.45%","6.56%","0.55%",2.13,"13_24"
"15","Ashe","Marksman","SUPPORT","S",55.93,"+0.08","49.31%","52.41%","7.49%","15.00%",2.09,"13_24"
"16","Ashe","Marksman","ADC","A",48.55,"+0.23","50.21%","46.64%","6.90%","15.00%",2.45,"13_24"
"17","Aurelion Sol","Mage","MID","B",46.85,"-2.47","52.47%","91.68%","1.25%","0.18%",2.73,"13_24"
"18","Azir","Mage","MID","A",49.5,"+4.45","49.56%","94.25%","5.07%","1.05%",2.15,"13_24"
"19","Bard","Support","SUPPORT","S",59,"+1.92","52.69%","99.54%","5.37%","0.67%",3.07,"13_24"
"20","Bel'Veth","Fighter","JUNGLE","S",53.95,"+5.01","51.91%","93.43%","5.48%","4.91%",2.68,"13_24"
